Unnamed: 0,blurb,state
1222,"A book about surviving, revenge, healing, hope and most of all about love.",failed
1223,"The Star Jump Chronicles will take you not just to the Stars of the Milky Way Galaxy, but indeed to the Stars of the Universe!",failed
1224,Champion Standing is a fantasy novel blending non-stop action and memorable characters in a tale of betrayal and redemption.,failed
1225,"Alex Hunter's third thriller novel, featuring agent Luc Hansen of the DER, in which Hansen faces ISIS and people trafficking.",failed
1226,"Bringing the The ProChrist, Son of Sin and The Angel King together for one great story about overcoming adversity!",failed
1227,"""Novem Astrum"" is an original fantasy series with a historical twist. ""Gordon’s Cailis"" is the first novel of this series.",failed
1228,"A fun and exciting thrill ride of a story, with a crew of misguided misfits leading you to adventure.",failed
1229,"After the The Little Prince mysteriously disappears, a young girl on his trail, believes she has found him.",failed
1230,A Stolen Life is a collection of short stories and poems that  bring attention to the human condition and how we deal with each other.,failed
1231,"Publish the first book, continue the series via the second book already in the works, and test both books for possible movie",failed
1232,Ashes of Reality is a small startup company focusing on helping independent authors navigate publishing their works.,failed
1233,"Beagus, a stubborn, audacious king is cursed to be a beast for life. His rivalry with Borin continues until he meets Gamel.",failed
1234,"I need help getting my book, ""A Buddhist Love Story"" professionally edited.",failed
1235,A written work( a novel) giving voice to a strong woman's journey through life as she triumphs many setbacks and relationship issues.,failed
1236,The third book of short stories written by Arthur Herzog III,failed
1237,"Five people's lives intersect in a 12 hour period at a Vegas casino. 
Imagine ""Pulp Fiction"" written by Nick Hornby",failed
1238,"Somewhere on Canada's Inside Passage, terrorist plot to destroy a cruise ship filled with celebrities and VIP's",failed
1239,Sinseer Publishing Is an Independent Publishing Company that publishes authors along with turning our books into movies.,failed
1240,Allegorical story about the creation of a race of neosapiens.,failed
1241,"If you like horror ""Sinister Files"" will not disappoint.",failed
1242,We want to get our book published in hardback form so those who do not have E-readers can enjoy the book as much as everyone else.,failed
1243,A small group of people creating a no-holds-barred and uncensored type of writing in short horror stories,failed
1244,"A young man, new heir to a fortune, also inherits a murdered body in his library. Coincidence or connection???",failed
1245,"Sparky was at a turning point in his life so he did what came natural to any aging New York City born and raised, streetwise, tough guy",failed
1246,"Cutting edge spontaneous writing presented in novels, short stories and poems -",failed
1247,Cozy Reading in a box! A monthly subscription box full of cozy goodies and a great novel delivered to your door.,failed
1248,"A story focusing entirely on the suddenly changed life of a child who upon returning to his village, discovers it in total devastation.",failed
1249,"FBI Agent John Knox doesn't want to just save people's lives - he wants to save people's souls, taking out killers along the way.",failed
1250,"Internationally published novelist, Chad Corrie, would like to bring some of his revised fantasy novels back into English publication.",failed
1251,"We bring international writers together to create a full-length, published novel, one chapter at a time.",failed
1252,Love and A space adventure,failed
1253,"The second installment of the Shifting Sky series. Come back with Sky, meet Nik, and fight alongside them against the evil druids.",failed
1254,An exploration into a female mass shooter. The aftermath and how it almost destroyed her family.,failed
1255,"Rising literary star, and avid weed smoker Leslie Charles must protect his family from the dangers a mysterious sex video brings.",failed
1256,Bring Mary back to the convention circuit with a brand new release from the world of 'Gift of the Dathuri' at GeekGirlCon 2014.,failed
1257,"Stephen Lindsay is a cooperate lawyer, as far as his family knows that is. He is really a spy whose double life is catching up with him",failed
1258,"A magical combination of words, punctuation and grammar that mix  into a messy stew of feelings, like Forrest Gump, only less Gump.",failed
1259,"I'm seeking to write my book, High Society: Maquerade. Step into the world of these socialites as they interact in one night of fun.",failed
1260,"ARCHANGEL is the first action packed erotic romance adventure novel from author Denni Towle, Winner of the 2014 NaNoWriMo Competition.",failed
1261,Life isn't fair.  The good guys don't always win and the bad guys don't always get what's coming to them.,failed
1262,A collaborative novel in the style of a Choose Your Own Adventure which will evolve based on funding.,failed
1263,"This project is a Novel (potential movie screenplay) of a bizarre tale of high adventure, based on a true story.",failed
1264,"A young adult fiction novel. The Travelers is a story about war, love and uncovering darkness even within you.",failed
1265,"Devour Lovecraft? Miss shows like Buffy and Angel? Help launch this action-packed dark urban fantasy set in Hoboken and Jersey City, NJ",failed
1266,mini-movies for mighty manuscripts...,failed
1267,"Publish my book that tells the twisted tale of love, vengeance, our darkest days and the measures we take to outrun our destinies.",failed
1268,"This project is an attempt to translate my life experiences with death, depression and the supernatural into novel form.",failed
1269,The 1st reality novel where you are part of the story.  $500k is hidden somewhere in the USA.  The book reveals clues to the treasure!,failed
1270,I want to publish books/series that feature various superhuman and supernatural characters living in a shared continuity.,failed
1271,Indie author of Strega Series. Book I now available. Need help funding the publishing process for Book II (planned release Oct. 2014).,failed
1272,"Flower's Curse is the sequel to the 4 star rated YA Fantasy Novel, Flower's Fang.",failed
1273,Drumpf Nation seeks to expose the divides government policy and personnel can have on society through noir political satire and action.,failed
1274,I worte a fantasy novel about the place I would go in my head as a child to escape the physical and sexual abuse in my life.,failed
1275,"I need to hire a professional editor, cover designer, purchase my ISBNs and my copyright. Help me publish my first book!",failed
1276,"I want to publish the second book in the Time Riven series.  
In Volume 2, Daniel Macon races to stop a catastrophic time-based attack.",failed
1277,"You Need A JOB TO SURVIVE But You Need A DREAM TO LIVE. ""The Devil Wears Payless"" is my personal journey to the illusive dream job.",failed
1278,This project is to fund the editing of a fictional dark adult fantasy novel I've written. The project is over 100k words.,failed
1279,"Enter the world of Dr. Sung, an doctor on the edge of losing himself. Finding comfort in bondage, he becomes more than before.",failed
1280,A novel about human existence in the vast unknown and the love that gives it meaning.,failed
1281,"The Darker Side Of Light is a story about the evils plaguing our society, and what some people are willing to do no matter the cost.",failed
1282,I want to create first a sci-fi book story based on this new ultimate hero in these new deep world and then maybe a cartoon!,failed
1283,"I have a story to share the world, but no money to get it out there. Only words. Just give me a chance.",failed
1284,"Kapitel 1&2 gratis  auf: Facebook ""Saras Nightmare"" lesen! Freue mich über jede Art von Unterstützung.",failed
1285,Soul of Her Shoe II & III is a continuance of the suspense filled drama. Which Shoe Best Represents You?,failed
1286,An apocalyptic world. The survivors live thanks to the most great story books. They have to protect an incredible scientific proyect.,failed
1287,"There's something missing from the book subscription box market, and we want to fix that.",failed
1288,I AM GOD  - ONE MAGICAL COLLECTION,failed
1289,"New Orleans' own Jules Cassard's new novel about love, marriage, and the murder it takes to make it last.",failed
1290,I suffer from Post Concussion Syndrome. My only viable career path is writing. A good book costs money to make; money I don't have.,failed
1291,This book is more real in actual events than a book totally fictionalized! Its the story about a female crack addict @ lifetime events.,failed
1292,The Deity is the Da Vinci Code of our age.  Dealing with topics such as religion and the possibility of Alien creation,failed
1293,Fracking Justice is the fictional sequel to 'The Fracking War' that dramatizes the conflict between energy companies and activists.,failed
1294,The Parables of Life Crime and Investigation Collection featuring U.S. Marshal Harry Bailey a 12 volume collection is ready to market.,failed
1295,"Young Lessa and Jeri the dog, in a desperate flight for freedom, hop a train to find help saving the family farm. Will help find them?",failed
1296,"I have always loved Music, now i want to give something back. My own Music to the world, but before that, i need some help :)",failed
1297,"This 6 track EP will be a blend of ambient blend of rock, blues and fusion guitar instrumentals.",failed
1298,"This world is consumed with things that tie us up, lets make music that sets us free. #GravityEP",failed
1299,Taking it to the next level...,failed
1300,Catholic/Christian Songs of praise inspired by prayer & a hopeful pilgrimage to Rome for the Canonization of Blessed Pope John Paul II!,failed
1301,Dream Awake is going to the studio to record our first EP! We need help to spread the word and raise money to continue our outreach.,failed
1302,Our originals reveal a taste of the 60s; Unique female vocal; With Carole King's I Feel The Earth Move (duet); Over The Rainbow (rock),failed
1303,"Everyday you hear music on your radio, iPods and phones. Music is always around. We live for bringing a new style of music to you now!!",failed
1304,We need your help to finish our record !! We are 24 studio hours away!!!,failed
1305,Gavin and Neil always wanted to release Ghosts and Echoes on vinyl format. You can help make it happen,failed
1306,"This will be the first major west-coast tour by Revengeance, the band hand-picked by KISS as their opener. Your support is needed!",failed
1307,Castor Coal is shooting their first music. The video will be a comical take on the typical excess associated with Rock and Roll.,failed
1308,"Hello everybody, we're a band called ""It's Ok !""

The band was formed a couple of years ago, and we're trying to record our first album",failed
1309,I am getting ready to record. The project is a 5 song CD of original music from singer/songwriter Kevin Elliott.,failed
1310,A music project based in Swansea consisting of hard rock and metal.,failed
1311,I want to make a full length album. I've played music for 13 years and have never been able to record due to lack of money/equipment :),failed
1312,"Music video for a song performed as comics about a guy Sam, his dog Dilly and couple of depression pills. WE DRAW ALL COMERS AS ACTORS!",failed
1313,"our first full album and merch needs to be released on cd and vinyl ... we like diy , so we need your help realising our dream",failed
1314,"This disc is a snapshot of my time in Charlottesville, VA, but in song.  Rock, Blues, and folk mixed with a healthy dose of the 70s.",failed
1315,"After a number of successful videos with ""Filmage"" we have decided to work on a new music video for our track ""Throw Me To The Ground""",failed
1316,Please Pre-order Lezane's Album. Its almost finished! Just Mastering and a $500 balance for the mixer is left before we can release it.,failed
1317,This project is for a vinyl pressing of Sewn Robe's new one.,failed
1318,Render is aiming to make a positive impact through their classic rock music with a modern pop twist.,failed
1319,"Rippin' E Brakes from Contoocook, New Hampshire.  Raising some funds for Rock n' Roll!",failed
1320,"Unchained is about to record their first demo in order to promote their material. Please help us out, and we guaranty satisfaction.",failed
1321,Hello Comrades! Thanks for joining us here on our KickStarter page. We need your support to launch our incredible NEW album. Join US!,failed
1322,Help RAD break away with their debut album: Which will consist of songs from high energy to relaxing. fun exciting. sad and even love.,failed
1323,"Please back the creation of our third album ""STUCK"" and our US Tour. We offer kick-ass Kickstarter exclusive merchandise and shows.",failed
1324,"We are a post hardcore band from Northwest Arkansas, and we have no money! Help us get some better gear and get into a studio!",failed
1325,"John R Kjellström has a dream to put out his album on cd & vinyl.
Back him and get the album when its ready!",failed
1326,Looking to go into a professional studio and release a 12 song full band album for release on Itunes! I am musician Andrew Schaffer!,failed
1327,Help support a dream if you dare! I'm making my tracks free to download because I want to share my art with you. Thank you so much!,failed
1328,"Phenomena Project celebrates its 30th Anniversary with a new studio album, horror movie & international arena tour in 2015.",failed
1329,"Hammerdown is a new rock festival in the south of England, taking place at The Martlets Hall, Burgess Hill, on Saturday 13th of August.",failed
1330,"Adam Main teams up with backing band The Goldenrods for a bluesy, jazzy, rock and roll project to be released on both CD and LP.",failed
1331,"Please help me turn my Lyrics in to Music, With the Building A Dream Lyrics in Search of Music Project. With much Gratitude -Aaron-",failed
1332,I'm trying to make a rock album on my own. It's proving quite difficult and costly.,failed
1333,"If you like our stuff, you want more. The feeling is mutual. Money helps that process. We make. Still lack. Need more. Here we are.",failed
1334,"Visual Past is a rock band in Thunder Bay, Ontario. We are 4 high school students who are looking to create and distribute an EP.",failed
1335,Hey fellow music enthusiasts! We are Legion of Saints and we are creating our first full length studio album.,failed
1336,Our project seeks funding for post production & duplication of songs that take the listener on a hard rock melodic journey.,failed
1337,"""Today's music just isn't what it used to be.""

We've all thought this at some point.

It's time to change that. Together.",failed
1338,Denis Taaffe has completed recording his 179th & 180th  albums in his modern rock guitar series.you can be a part of it,failed
1339,In order to get our EP recorded we're looking for funding and it would be amazing if you can help out!,failed
1340,"Ty Stone and Brent Wheeler  'Rise' - "" a natural mystic like the spirit of Bob Marley & the heart of Detroit.  StoneWheels drive on!""",failed
1341,"Be a part of the joy, inspiration, and education of thousands! You can make it happen!",failed
1342,"Gregorian Rock combines ancient with modern to create a serene, yet pummeling sound. This will be my third, and best album.",failed
1343,"THE DISTRIBUTION OF AN UP/COMING, ALL ORIGINAL ROCK BAND, FROM, OSWEGO,KS, FIRST EVER,CD/ALBUM RELEASE THAT YOU CAN BE APART OF.",failed
1344,"My dream is to be an artist, but it's hard to get a record deal. And I barely have money to live, even less to rent a studio and record",failed
1345,Chuck Burns Band needs help to bring their resonant sounds across the country this summer! Receive awesome goodies for your support!,failed
1346,"Supporters get a signed copy of EX LUNA's album, MP3 download, t-shirt, attend the record release party, and even appear on the album!",failed
1347,"Aidez Twenty-One Twenty à financer un nouvel EP original! | Help Twenty-One Twenty to fund a new, grooviest, psychedelic-est EP!",failed
1348,"It's time to record our first album ""Do You See it Now"" and we want YOU to be involved. We need your help!",failed
1349,HELLO we are trying to build up some money in order to record our first album ever,failed
1350,Fund the next album from Darwhine,failed
1351,Be part of creating Seven Cinematic's debut record-by Kevin Cadogan (original 3EB guitarist) and brothers Collin & Chris Livingston!,failed
1352,We would like to record our new album in a studio. We need funding because we can't afford right now.,failed
1353,I'm planning to make a better electric guitar for you. I have a philosophy of luthiery which I have implemented into my prototype.,failed
1354,We a looking for some money to record and release our music professionally and then money to buy a drum kit to gig round the UK.,failed
1355,"A Hard Rock Album Project of covers of African American Musicians and Bands. From Marvin Gaye to Tom Morello, Fishbone & Sevendust",failed
1356,"J&TS will record, press and release our new album, B O T H. It will be AWESOME! And with your help it will be........ A W E S O M E R!!",failed
1357,"Help fund the very first Monaghans Dixon ""FULL LENGTH"" album. Our $5,000 goal will help bring our sound to new levels!",failed
1358,Upgrading home recording studio for new album,failed
1359,"""It's not about being perfect...It's about what goes on in your heart and what goes on in your head""
-Dave Grohl",failed
1360,"Small sample.  Check updates for first 3 songs we hope to record professionally.

Record debut album at Big Matador Nashville Studio.",failed
1361,Feral Depravity and Hemorage are recording a split album: 4 songs from each band and one collaborative song!,failed
1362,Loving Forty-Four is going on TOUR with our good friends the Dead Freights and we need your help!,failed
1363,"Our album is recorded, artwork is ready, all we need is funding to produce the CDs and promotion to get our music to the world.",failed
1364,"Bringing music to the masses for a great, worthwhile cause!",failed
1365,FILTHY VISUALS TO MAKE NEW EP!,failed
1366,Breakout Artist Management has offered to work with and develop this project in the studio and we need your help!,failed
1367,"Christian Piano Player/Singer here, looking to get back on feet after heavy life upheaval,",failed
1368,"Three Armed Decoy, former members of November Trust who need your help.",failed
1369,"I've never been popular, so asking for your help is hard- but I need you. This can only happen with your support. My music needs you.",failed
1370,You'll come along for the ride as an Atheist comedian and musician exposes demons through comedy and song.,failed
1371,"We are a five piece band of buskers living communally, creating original music. Now we are ready to record our first album!",failed
1372,My exes have moved on and don't miss me because I'm a broke joke who is going nowhere in life.  My next album could change that.,failed
1373,ATL has an exciting studio project in the works which we think is going to be our best album yet. Join us and make a difference!,failed
1374,"Working with American rockstar/singer Brett Hestla (Creed, Dark New Day, Virgos Merlot) on our first EP. Including single and video!",failed
1375,Scarlet Raven is a modern rock band that is looking to hit studio in August. Help Scarlet Raven finish recording their first full album,failed
1376,The Hometown Personas Project is a concept album prologue. It is based in a fictional world and will be released one song at at a time.,failed
1377,Hyde Spacely's first album.,failed
1378,"Axxecaliber's ""Forged From Rock"" is filled with songs spanning the genre from glam to punk.",failed
1379,"Join the Station, as we grow into an exciting and new concept: The S'kool of Rock Music History, Pop Culture Anthropological Studies",failed
1380,At the start of this year we started a monthly worship service called Worship Alive this cd will be the songs wrote from the services.,failed
1381,Just Off The Grid needs your help to get our recorded and Live music to you! Mastering and Album release!,failed
1382,"CD is in circulation, the band is ready, now it's time to hit the road!",failed
1383,ZIP loves to make music.... ZIP loves you.... ZIP loves to make music for you!!! (By Us For You...... BUFU!!!),failed
1384,A vintage hard rock production,failed
1385,"The money you donate will go towards the mastering and distribution of our new EP. it will be called ""Live for the Moment""",failed
1386,"We are documenting a ""Liquid Light Show"" based out of San Francisco with an up and coming soul psych rock band across the USA.",failed
1387,We are doing this for high quality recordings in a professional environment to take our career to the next level.,failed
1388,"Debut recording of original songs and instrumentals. All faith based, and targeted to the Christian pop/rock genera. Vinyl and C.D.",failed
1389,Groovy Psycho-Stoner Rock from the INW need help extending our range across the globe by recording our 1st professional EP.,failed
1390,I need to upgrade to a larger mac that can handle music production in a software heavy environment.,failed
1391,Album release and summer tour for a Southwest Rock group. Working hard to bring you great music.,failed
1392,"My debut album, spanning six years of music and life, is about to be made a reality...with your help!",failed
1393,"My Debut album is something i am extremely passionate about! I want to make the next big Instrumental Rock CD, like Joe Satriani did!!",failed
1394,"Be a part of Psuperbrain releasing a remastered Vinyl Double Album ""Best Of"" Record set, a New Vinyl Album and a Live Concert!",failed
1395,The first recording of my album sounds horrible!!! I am re-recording it so that I can deliver the best product as possible to my fans.,failed
1396,we are trying to record a high quality EP but we barely have enough money to get by....,failed
1397,"Our debut album is set to go! We are fundraising to cover mastering, CD pressing & a music video for the first single, ""Platinum Girl.""",failed
1398,TTB will be on tour in the UK in Aug/Sept. We would like to record a live album to be released on CD to commemorate this tour !,failed
1399,"If you like Pink  Floyd or similar, you will love to hear a new album with great guests of English and American progressive rock!!",failed
1400,We are trying to raise the funds to produce our first album and bring our musical side show to the rest of the world,failed
1401,"Deaf&Poor is going on our first tour! We need your help to film all of it, and in exchange you'll get a DVD of the whole experience!",failed
1402,We need to raise 480 bucks for a 12 hour block of studio time by Feb 1st.  We are begging folks!!!!  Please help,failed
1403,Yosa Buson  and Travel by Train cassettes made up of out-of-print works and an ultra limited vinyl of new songs.,failed
1404,RockMind Meditation; Creating an album of rock music mantras to provide a basis of meditation. Cool new concept to help meditation,failed
1405,"Hello, Fading Dawn here. We would love your help in raising funds to record our new E.P! Every dollar counts!",failed
1406,Be apart of the recording and release of the first EP from City Line!,failed
1407,"The Broken Records Reunion Concert DVD, featuring Altar Boys, The Choir,  Crumbacher, Undercover and 411.",failed
1408,I've personally financed and finished a 4-song EP album. I need your help to make it 10 songs.. All support is appreciated!,failed
1409,"Not just any music video. We want to tell the story of how YOU, the fans, raised US back to life. And we can only tell it TOGETHER.",failed
1410,"Morningstar have an image like something from a Victorian Horror scene, producing hard rock sounds like Black Label Society meets Opera",failed
1411,Help! We need help finalizing our new album! We've hit a bump in the road and we need a tad bit of cash to pay for the remix and master,failed
1412,"Music is the key to my soul and ""Simpatico"" is the musical catharsis of my life thus far.  Every life has a story ""Simpatico"" is mine!",failed
1413,"Extolling Jesus Christ through post-hardcore, experimental, and acoustic rock, while giving other artists the opportunity to create.",failed
1414,War Poets second studio album will be recorded in the fall of 2013. We need support to help deliver the highest quality music possible.,failed
1415,Kickstarter campaign to raise funds towards a night full of rare songs and a crowd that knows every word,failed
1416,"We are Unconfined! We play many styles: rock,reggae,blues,jazz&more all while switching up on instruments. Music is what we're good at.",failed
1417,Help Embracing Silence get off to a great start making music by YOU supporting our upcoming studio time for our first EP!!!,failed
1418,"Utica's own SLUG, a 14 year veteran of the East Coast music scene, is finally takin' this show on the road!!!",failed
1419,"All new original music, plus some covers, done with familiar sounds, in a unique way. Plus a remix and remaster of my 2006 release LPP.",failed
1420,"Our single ""Rescue"" has been carefully written over the past year and we are really proud of it. Now all we just need to record it!",failed
1421,"Project-B are a young band in need of funding for equipment. This equipment would be used to Perform, and teach young talents music.",failed
1422,We want to record a new album and we need some help to get back into the studio.,failed
1423,"It says describe this new project in 135 characters.  Though impossible, simply put, this album is going to be good.  Really good!",failed
1424,"This is the second album from Gregorian Rock, who combines ancient and modern for a sound that is serene, yet pummeling.",failed
1425,"Immortal by Sound ~ CD and live rock show, audiovisual experience",failed
1426,I realllyyyyy want to get into a studio and record some awesome songs I've spent the last few months writing!!,failed
1427,It's about time we made something to pump through your batch this year our dream - and it's only achievable with your support!,failed
1428,Grave Corps is looking to bring the horror back with their first recording in 6 years.,failed
1429,Be a part of the next phase in the evolution of American Latino Rock!,failed
1430,"As all musicians know, studio time is very expensive. InbetweeN is reaching out for help. There's a dozen+ songs - Want to hear them?",failed
1431,Maw Band - EP Sunshine Screaming!! Brought to you by...YOU!  You can make this happen with us! Touring 7 Northwest States Jul & Aug!,failed
1432,I gave up my dream of a music career to take care of my father who was dying of kidney failure. I want to get back in the studio.,failed
1433,The Next Step EP by John Watza is 5 original songs with influences from Fallout boy to Stevie Wonder help support local music!!,failed
1434,We're not dead. We haven't broke up. It's just been a while and this record is shaping up to be a different animal than our first EP.,failed
1435,Rock Out To Knock Out is a promotional concert series to raise money for Multiple Sclerosis. Progmium helps knock out MS through music.,failed
1436,"Set our track apart with producers who have worked with industry lengends. Make ""Dancing With The Man In The Moon"" a radio ready hit.",failed
1437,"""The Camera's Rolling, but Where's the Director"" is the first EP from Confident Loser. It will include 6 new songs.",failed
1438,Rock and Roll it's still alive! We want to produce our 2nd EP with our newest songs + plus a new version of Mr. Fake.,failed
1439,"Our dream is to share our music with as many people possible. To do this we need to produce our first official album ""Brain Lightning""",failed
1440,"We're trying to fund our new EP

It's going to loud.

It's going to be rocking.

It's gonna be just what you need!",failed
1441,"""10 Days "" kicks in a hard rock rythm with poetic lyrics , discover an awesome Patriot Day Rock song",failed
1442,"Time for my first album! Recording a love letter to the world at a sweet studio with the help of my friends, the best musicians I know.",failed
1443,This project is designed to uplift and inspire. The musical project: The.Phoenix.Burn is a collaborative and exciting gift.,failed
1444,Help to fund the Brooklyn-based progressive funk-rock band’s first full length album!,failed
1445,"The most common question we're asked at our shows, ""where can we buy your album?""  Well....  they're expensive to make.",failed
1446,Rock music album.  This album has been in the works for over five years.  We have written over 20 original songs.  Picking what we feel,failed
1447,"Rock and Roll is America’s contribution to the arts, so why are we not fighting to preserve our own musical legacy and culture?",failed
1448,Help us get you the tools we need for the best product from us as possible !,failed
1449,We are a new original band trying to raise money to fund our first record to continue the future of our band.,failed
1450,Be a part of the game it's 4th and Goal!. The money raised by Kickstarter will help fund the new CD.,failed
1451,"Full Length CD and 3Videos from Mark ""Tallman"" Montague               
7x Platinum Bass Player on ""America Town"" by Five For Fighting",failed
1452,"Osamu, one of Havana’s best-loved rock musicians is in the US on tour from Cuba! Let's bring him and his band to the Bay Area!",failed
1453,How many people met us@Japan-tag in May? We got chance to come back to see you in this summer !! Please support us & Get secret goods!,failed
1454,Guitar.Graphics is wanting to grow our business by introducing a line of custom graphic American Made Electric Guitars.,failed
1455,Heading back to the studio with a fresh new sound !!!,failed
1456,"We, The Lazy Dreamers, are a band of starving musicians that are trying to record an EP in exile (Dalian, China).",failed
1457,Guitarist Bill Worrell of rock group America seeks fan support to record a full length album.,failed
1458,Bleeding Black needs help to bring a magnificent album to the public which is an expensive process....Come join us in getting it there!,failed
1459,"CT  needs a hard rock/ Metal station in order keep us in the loop of bands that want to play here, and  bands that my want to move here",failed
1460,"Richard Hunter, one of the world's most original harmonica players ever, defines electric harmonica for the 21st century.",failed
1461,"Hard Rock band from Western KY. 100% Pro Military, #Ironcore #army #jointheresistance #hardrock #metal",failed
1462,The Real Deal is original country-rock featuring singer/songwriter Tom Huebner and vocalist Dottie Escue.,failed
1463,Hey everyone! I'm an author and musician looking to make a 12-song rock album of all original songs. Any donations would greatly help!!,failed
1464,"WE WANT TO GET OUR MUSIC OUT  TO YOU THIS YEAR WE HAVE 2 SONGS IN THE BAG, BUT WE NEED YOUR HELP TO FINISH THE PROJECT",failed
1465,It's about time Deadwolf recorded an album!,failed
1466,Conscious Pilot has been playing in its home state of Ohio for over a year and needs the proper vehicle to take its music on the road.,failed
1467,Ashworth is recording and producing a 4 song EP to release Sept. 21. Help make it happen!,failed
1468,This kid needs to make it big!  His music is his own.  He works construction out of state but was born to play music.,failed
1469,"I'm a musician from the mid-west who has been offered the opportunity of a lifetime to record with a legendary producer in Seattle, WA.",failed
1470,"Undone is heading for the studio to record an Album, but we need your help! So help us to help Rock N' Roll!",failed
1471,We are looking to fund our EP by asking the very people we make music for to lend a hand. Thanks for the support!,failed
1472,Looking forward to putting together this new record.,failed
1473,You all know I've been writing music Forever. Well I think now it's time to Finally put all that music together on a full album!,failed
1474,"We're about to record our second album, ""Hologram"", and would like you to be a part of it!",failed
1475,In His Reflection is a worship band that has the privilege to record our 1st cd. But to do so we need your help. Anything helps :),failed
1476,I have always wanted my own recording studio to start making new great music and to bring my friends in and share their talents!,failed
1477,The MaineStreet Band are heading across the Pond in August to perform at the Edinburgh Fringe Fest. Help support our Rock-n-Roll Dream.,failed
1478,The Chapter One CD from Otter Control.,failed
1479,EdGer and others are going to record a double album out of old n new demo's and film video shorts to release together and separate.,failed
1480,"Kids rock band Chaotic Five is making their recording debut with ""Rock n' Roll Avenue"" - a four song EP that will rip your face off!!",failed
1481,"After 9 years of guitar playing in a bedroom and recording originals, I am proud to present my first release on Kickstarter! Enjoy :)",failed
1482,Passionate member of the Kiss Army.The band KISS has made me the man I am todayI am a rockstar in my own mind. Music is power!,failed
1483,My band needs money to buy better gear. We are all talented musicians. We are just lacking in the financial department.,failed
1484,Help us achieve our dream of creating a full length album and sharing our love for music with others.,failed
1485,A great album by the band that everyone wants to be!,failed
1486,I'm trying to create an Alice Cooper tribute band based out of the Treasure Valley in Idaho! Help me bring this monster to life!,failed
1487,"Hello everyone! We are getting so close to releasing our first album, but we need your support! Every donation is one step closer.",failed
1488,You're gonna love the music were working on. If you don't there are no refunds you'll just have to convince yourself its great music.,failed
1489,Acoustic Rock:  I am looking for a way to be heard.  I would like to share my story with the world through music.,failed
1490,Audio Production and Music Video,failed
1491,"We are trying to bring our music out to everyone who is looking for good rock music to jam to, to a world filled with electronics",failed
1492,"I'm creating a new studio album project, but I need your help to get there! I promise this will be a kick ass album with your support!",failed
1493,"UNO by GENO- 12 song album with special guests Paul Rivers Bailey, The New Locals, Craig Miller, & the East Bradford Ukulele CLUB",failed
1494,"Help us raise money for new equipment so we can provide you, the fans, with a better music experience!",failed
1495,"Female fronted rock band Shadowsin is recording their first full length album ""Chasing Ghosts""!",failed
1496,We are recording a 6 song EP but we could use some help! Once we have CDs made can we can give to those who helped out! Thank you!,failed
1497,Guitar fueled solo album from an artist who previously supported Aerosmith on their world tour.,failed
1498,2 cousins that have been playing together since childhood look to professionally record and distribute an original album to the masses.,failed
1499,Nokie Edwards Rocks his 80th Birthday with a historic 12 track  CD!     Be a part of his once in a lifetime event.  Rock on Nokie !!,failed
1500,"The Christian Rock band, Render, is about bringing hope to a broken world with a unique sound that glorifies God. We're going on tour!",failed
1501,"Ohio rock group gaining national awareness needs support for new release.  With proper backing, they will be signed to a major deal!",failed
1502,"Satsuma is a band from Athens, Georgia looking for funding to support the recording/mastering of their first studio effort! 3-4 song EP",failed
1503,Deathrope is a Rock Band located in Switzerland who needs your Help to record a new Album and finance the promotion.,failed
1504,Rock and Roll Superheroes in spandex tights for justice. What else can you ask for?,failed
1505,"We are in the middle of Writing & Recording JADED PAST's New CD and we need a lil help to get over the hurdle!
Any donation will help!",failed
1506,Help me with the album everyone thought I could or would never make. This project is for all of us. You are the REASON for my NEEDS.,failed
1507,"EMULATE is the kind of album that is pure magic, with your help I look forward to bringing it to fruition one song at a time :)",failed
1508,Canada's own Prairie Whiskey. Emerging Rock Band,failed
1509,"We've been working hard to write our first EP, featuring 4 original songs crossing multiple genres, to preview our full-length album.",failed
1510,We are raising funds for our debut EP. Every little bit helps!,failed
1511,"We are Mariachi Muerto, a rap/rock band, trying to raise money to get back into the studio and record a full length EP!!",failed
1512,"We use the electric avenue of streaming  2 connect 2 our community thru music. We #Love our platform, but there's more road to tread...",failed
1513,We inspire each other by writing and recording and want to share our love for the instrument with you and others.,failed
1514,Santa Barbara Academy of Rock is an afterschool program teaching kids 7-17 how to play in a rock band!,failed
1515,Help me record and release my first full length album of alternative rock/pop originals out here in Los Angeles!,failed
1516,Symphonika are a UK based Rock band. We are working with Queen Producer Mack.  Our aim is to deliver fantastic new Rock music!,failed
1517,Release the Skyline is looking to release a new single and perhaps more with your help.,failed
1518,I'm just one guy writing original songs. I'm trying to get enough money to get decent studio time. Your help is greatly appreciated.,failed
1519,"I want to bring you music that captivates you, makes you feel what I feel when I play. Let's make an album like that.",failed
1520,I am recording an album by myself and need recording equipment. I have been playing guitar drums and singing for 10 years now.,failed
1521,"Quiet riot, Slaughter, Great White, Firehouse, Ratt, Stryper, Cinderella, Warrant, Foghat, Dokken... Only the dream of TESLA is left..",failed
1522,I love to make drum cover videos and I know you guys enjoy watching them! Help me make awesome videos!,failed
1523,Explosively entertaining!!,failed
1524,"I want to make and record my first (slow)rock album, but i've got one problem.. I'm broke.. So please, help me with a little donation.",failed
1525,Help us achieve our dreams! We are looking for partners (YOU) to become part of our story.,failed
